[0.00s -> 29.36s]  I don't know.
[1978.82s -> 1981.82s]  It's a credit institution, it's a payment institution.
[1981.82s -> 1982.32s]  Mm-hmm.
[1982.32s -> 1985.32s]  Electronic money, investment firm, crypto.
[1985.32s -> 1985.82s]  OK.
[1985.82s -> 1986.32s]  OK.
[1986.32s -> 1989.82s]  That's type of the entity.
[1989.82s -> 1991.82s]  It goes further here.
[1991.82s -> 1992.82s]  Yeah.
[1992.82s -> 1994.82s]  Then competent authority.
[1994.82s -> 1998.32s]  Under which authority falls this identified entity?
[1998.32s -> 2000.32s]  Competent authority, according to.
[2000.32s -> 2010.82s]  So for example, we fall under the I think it's EVA or.
[2010.82s -> 2013.32s]  So who is regulating your entity?
[2013.32s -> 2013.82s]  Mm-hmm.
[2013.82s -> 2015.32s]  Huh?
[2015.32s -> 2017.32s]  Asset management is FSMA, et cetera.
[2017.32s -> 2018.32s]  But OK.
[2018.32s -> 2020.32s]  We have to look in this article.
[2020.32s -> 2020.82s]  Yeah.
[2020.82s -> 2022.32s]  Date of reporting.
[2022.32s -> 2024.32s]  When is the date of your report?
[2024.32s -> 2025.32s]  OK.
[2025.32s -> 2026.32s]  Then next template.
[2026.32s -> 2028.32s]  And it goes for every template.
[2028.32s -> 2030.32s]  Every template, huh?
[2030.32s -> 2031.32s]  Mm-hmm.
[2031.32s -> 2033.32s]  They describe how you should fill it in.
[2033.32s -> 2034.32s]  Mm-hmm.
[2034.32s -> 2035.32s]  OK.
[2035.32s -> 2042.32s]  So all this information has to be provided in the way that they show us here.
[2042.32s -> 2050.32s]  What we are going to do is to build a tool that holds all this information.
[2050.32s -> 2051.32s]  Mm-hmm.
[2051.32s -> 2053.32s]  In a normalized way.
[2053.32s -> 2054.32s]  Mm-hmm.
[2054.32s -> 2055.32s]  Huh?
[2055.32s -> 2057.32s]  Uh.
[2057.32s -> 2063.32s]  That people are able to manage all this information.
[2063.32s -> 2066.32s]  Via data entry.
[2066.32s -> 2067.32s]  And uploading.
[2067.32s -> 2069.32s]  And that people can upload.
[2069.32s -> 2070.32s]  Huh?
[2070.32s -> 2072.32s]  If they say we have collected.
[2072.32s -> 2075.32s]  We got from Munir a nice template in Excel.
[2075.32s -> 2077.32s]  With columns and tablets.
[2077.32s -> 2078.32s]  Huh?
[2078.32s -> 2079.32s]  Tabs.
[2079.32s -> 2080.32s]  Yeah.
[2080.32s -> 2081.32s]  Vendors.
[2081.32s -> 2082.32s]  Duck, duck, duck, duck.
[2082.32s -> 2083.32s]  This, this.
[2083.32s -> 2085.32s]  We collected all this information in this Excel.
[2085.32s -> 2086.32s]  And.
[2086.32s -> 2087.32s]  We are going to upload it.
[2087.32s -> 2088.32s]  Mm-hmm.
[2088.32s -> 2089.32s]  That we don't have to enter.
[2089.32s -> 2090.32s]  Cool, cool, cool.
[2090.32s -> 2091.32s]  Enter.
[2091.32s -> 2092.32s]  This is a possibility.
[2092.32s -> 2093.32s]  Mm-hmm.
[2093.32s -> 2094.32s]  Huh?
[2094.32s -> 2095.32s]  So the bigger entities will probably go for the solution.
[2095.32s -> 2096.32s]  That we provide a template.
[2096.32s -> 2097.32s]  Huh?
[2097.32s -> 2098.32s]  And that people make sure that all the information is collected in this template.
[2098.32s -> 2103.32s]  And this is then the format that the .NET guys will use to upload this information in
[2103.32s -> 2104.32s]  this database.
[2104.32s -> 2105.32s]  OK.
[2105.32s -> 2106.32s]  So.
[2106.32s -> 2107.32s]  So.
[2107.32s -> 2108.32s]  So.
[2108.32s -> 2109.32s]  So.
[2109.32s -> 2110.32s]  So.
[2110.32s -> 2111.32s]  So.
[2111.32s -> 2112.32s]  So.
[2112.32s -> 2113.32s]  So.
[2113.32s -> 2114.32s]  So.
[2114.32s -> 2115.32s]  So.
[2115.32s -> 2116.32s]  So.
[2116.32s -> 2117.32s]  So.
[2117.32s -> 2118.32s]  You use database.
[2118.32s -> 2119.32s]  Yes.
[2119.32s -> 2120.32s]  Use database.
[2120.32s -> 2121.32s]  OK.
[2121.32s -> 2122.32s]  Or a small identity.
[2122.32s -> 2123.32s]  For example, a small entity who has only ten contracts.
[2123.32s -> 2125.32s]  They say, no, no we're going to put it in.
[2125.32s -> 2126.32s]  Yes.
[2126.32s -> 2127.32s]  God.
[2127.32s -> 2128.32s]  Yes.
[2128.32s -> 2129.32s]  God.
[2129.32s -> 2130.32s]  God.
[2130.32s -> 2131.32s]  God.
[2131.32s -> 2132.32s]  God.
[2132.32s -> 2133.32s]  God.
[2133.32s -> 2134.32s]  God.
[2134.32s -> 2135.32s]  God.
[2135.32s -> 2136.32s]  God.
[2136.32s -> 2137.32s]  God.
[2137.32s -> 2138.32s]  God.
[2138.32s -> 2139.32s]  God.
[2139.32s -> 2140.32s]  God.
[2140.32s -> 2141.32s]  God.
[2141.32s -> 2142.32s]  God.
[2142.32s -> 2143.32s]  God.
[2143.32s -> 2144.32s]  God.
[2144.32s -> 2145.32s]  God.
[2145.32s -> 2153.16s]  yes okay pull down menu this entity you have access to report this entity you are contract
[2153.16s -> 2160.68s]  owner of a contract of czech bank i don't think you should ask the report for belgium
[2160.68s -> 2169.72s]  so there are some user and access rights to be thought about yes who are the contract owners and
[2169.72s -> 2178.92s]  some roles you have an administrator role maybe who must do anything must be able to do anything
[2179.64s -> 2185.56s]  you have contract owners so all of these things have to be analyzed yeah also if
[2185.56s -> 2190.28s]  people upload information there is definitely quality check yes
[2195.48s -> 2199.64s]  if they if their upload information is already in the
[2199.72s -> 2205.84s]  system are we going to overwrite it or not what should we do things have to be
[2205.84s -> 2214.24s]  bought and discussed we need to detect if the information are already uploaded
[2214.24s -> 2223.94s]  or not to prevent of writing information yeah for example no maybe so do you
[2223.94s -> 2233.60s]  really want to replace so many things it's typical analyst work yeah so if you
[2233.60s -> 2239.06s]  are going to read and think about what this application should be able to do
[2239.06s -> 2243.14s]  what are the business requirements for this application that's the first step
[2243.14s -> 2252.54s]  according to me getting to know this text sitting together tomorrow with
[2252.54s -> 2253.74s]  enterprise architecture
[2253.94s -> 2259.94s]  who will explain you a lot more and then starting with the requirements of
[2259.94s -> 2268.76s]  this solution what are really what should my solution be able to do and if
[2268.76s -> 2275.18s]  you have all these requirements listed down they have to be approved somebody
[2275.18s -> 2281.78s]  has to challenge it read it and say okay no these are I think it's complete based
[2281.78s -> 2283.22s]  on these requirements okay
[2283.94s -> 2289.76s]  I have to make user stories for the guys who are going to make the screens develop the UI
[2290.72s -> 2299.12s]  and a data model that is able to contain all this all this more these applications yes yeah
[2305.12s -> 2312.44s]  you don't have to bother which contracts audience go for not that's something somebody else has to
[2312.44s -> 2313.34s]  bother yeah
[2313.94s -> 2319.52s]  program for the contracts who will look at all the contracts collect all the
[2319.52s -> 2325.64s]  information of the contracts go into negotiation with all the vendors because
[2325.64s -> 2331.76s]  all the vendors have to sign a DORA addendum about the contract so probably
[2331.76s -> 2337.10s]  they will ask renegotiation of prices because they will say oh you will come
[2337.10s -> 2344.30s]  to do an audit I don't think so yeah sorry we have to yeah if not we have to
[2344.30s -> 2348.80s]  terminate the contract maybe so there will be renegotiation of hundreds and
[2348.80s -> 2353.60s]  hundreds of contracts so it's a huge huge effort why negotiating because the
[2353.60s -> 2364.38s]  bank want maybe to be auditing no no the provider the provider has to be okay with all the
[2364.38s -> 2367.08s]  requirements that we will
[2367.08s -> 2372.46s]  impose the providers impose the providers so we will say dear Microsoft
[2372.46s -> 2377.82s]  you will give us all the information about your subcontractors if they say we
[2377.82s -> 2384.72s]  don't think so okay say we have a problem because we have to be compliant
[2384.72s -> 2390.08s]  with DORA ABC has to be compliant with DORA to be compliant we need this
[2390.08s -> 2395.58s]  information to report to the regulator yeah so if you don't give it to me we
[2395.58s -> 2397.06s]  don't need it yeah for you
[2397.06s -> 2402.52s]  if you don't give it to me I cannot report on it yeah this is just an example
[2402.52s -> 2408.68s]  another example is you have to participate in pen testing yeah so we
[2408.68s -> 2414.06s]  are going to do penetration testing and you have to participate in this exercise
[2414.06s -> 2421.36s]  so for the bigger companies like SAP Amazon it will not be a problem yeah
[2421.36s -> 2425.74s]  because the whole world is asking the same question to all the banks who are
[2425.74s -> 2427.00s]  using their software are asking the same question to all the banks who are using their software are asking the same question to all the banks who are using their software are
[2427.06s -> 2431.62s]  asking the same question to all the banks who are using their software are asking the same question to all the banks who are using their software are asking the same question so they are preparing themselves IBM is
[2431.62s -> 2436.30s]  preparing itself so we have contact with the vendors already and we say what are
[2436.30s -> 2445.60s]  you going to do with Dora yeah we are busy with it okay everybody is busy yes so so
[2445.60s -> 2450.74s]  ultimately it has to arrive in your application I call it your application
[2450.74s -> 2461.26s]  because you will be the the man who will write down the specifications the
[2461.26s -> 2466.76s]  requirements how the database should look like and then you will work
[2466.76s -> 2476.48s]  together with the guys the developers define testing scenarios also if there
[2476.48s -> 2484.22s]  has to be system demo because who is going to use it in the application we
[2484.22s -> 2491.24s]  are going to build it from within Delta yeah so we will fund but the whole
[2491.26s -> 2497.56s]  group will be using it okay so there will be hundreds and hundreds of people
[2497.56s -> 2503.02s]  using this application all the contract owners will have a look in it will
[2503.02s -> 2509.20s]  adjust their contract whatever and today because you will say it's strange that
[2509.20s -> 2517.12s]  KBC doesn't have one global contract lifecycle management database to keep
[2517.12s -> 2521.26s]  all their contracts in one place in one place yeah we don't have it
[2521.26s -> 2532.22s]  okay and why mainly because this is just context information but it's interesting
[2532.22s -> 2538.38s]  for you we have a pearl strategy yeah and the last letter L is local
[2538.38s -> 2547.02s]  embeddedness it means that from from within the top of the company we don't
[2547.02s -> 2550.02s]  force
[2551.26s -> 2559.76s]  a solution or whatever to the entities they are accountable for their own IT so
[2559.76s -> 2565.92s]  each entity can decide upon their own ID okay they can they don't have to use the
[2565.92s -> 2570.48s]  same data center they can use other software other solutions it's very
[2570.48s -> 2578.06s]  strange for a company to work like this but the thought was if they want to act
[2578.06s -> 2581.26s]  fast in a market
[2581.26s -> 2586.30s]  they should not wait for global solutions because they tend to take too
[2586.30s -> 2593.12s]  much time okay so they should try to act fast so they need their their own
[2593.12s -> 2599.40s]  solutions you could say for but for contract management there is no local
[2599.40s -> 2606.94s]  specification that's true but we have a legacy the Czech guys use another
[2606.94s -> 2611.20s]  solution we use this solution there is a strategy
[2611.26s -> 2617.02s]  solution now decided for contract life cycle management but it comes too late it
[2617.02s -> 2624.42s]  will be there in 26 27 and DORA has to be compliant in the beginning of 25 so we
[2624.42s -> 2630.20s]  call this a tactical solution yes but if it's well built and I'm sure it will be
[2630.20s -> 2638.32s]  well built it will be used for years for years that's my experience yeah it's it's
[2638.32s -> 2641.08s]  not difficult to make something new it's
[2641.26s -> 2649.66s]  very very difficult to dismantle something old to say we don't need to phase out something
[2649.66s -> 2655.88s]  is very very difficult okay so the so the application stack is building building building
[2655.88s -> 2663.90s]  up building up so and it's it should not it becoming too complex the architecture for
[2663.90s -> 2671.02s]  me because people cannot yeah cannot phase out or it's very difficult to make something
[2671.02s -> 2674.38s]  very difficult to phase out something because there is always a reason why you
[2674.38s -> 2679.78s]  should keep the old system because the new one cannot treat all the
[2679.78s -> 2684.88s]  possibilities of the old one and then they will keep some exceptions in the
[2684.88s -> 2691.84s]  old application and it runs next to the new one so it's but that's I think every
[2691.84s -> 2701.02s]  company has the same same challenge just I will make some schema here mm-hmm and
[2701.02s -> 2717.78s]  you explained that we have an entity some entity okay there's the MTT is so contact
[2717.78s -> 2724.36s]  we're going to do with me now yes definitely do tomorrow please okay I will just say over
[2724.36s -> 2729.94s]  in high level high level very high level yes yeah this is a very very very good presentation
[2729.94s -> 2730.94s]  okay you are welcome
[2731.02s -> 2739.82s]  entities subcontract with providers like microsoft for example okay well well it's it's a little bit
[2739.82s -> 2746.94s]  more complex yeah these entities yes have a contract with kbc global services okay it's
[2746.94s -> 2755.34s]  an intra-group intra-group service provider for it yes intra-group service so kbc bank has only
[2755.34s -> 2766.22s]  a few contracts with kbc global services yeah for maintenance development yeah and it is kbc
[2766.22s -> 2774.54s]  global services who signs most of the contracts with the providers so we have an intra-group
[2774.54s -> 2782.70s]  provider intra-group provider yes and he has contracts with microsoft etc etc okay provider yes
[2783.82s -> 2784.86s]  interactive provider
[2785.34s -> 2791.10s]  provider yeah signal contract with yes with the entity contracts yes
[2792.94s -> 2801.66s]  contracts so yeah with entities okay yeah and he has contract with microsoft or whatever yeah
[2802.22s -> 2807.10s]  uh infra group has contracts with microsoft and uh yes and all the other providers yeah
[2807.10s -> 2815.26s]  third-party providers yeah with okay yeah with the yeah the third-party
[2815.58s -> 2818.86s]  providing the
[2820.46s -> 2822.38s]  city
[2829.50s -> 2837.26s]  and sometimes the entities we call it the business yeah they did have a good business yeah yeah within
[2837.26s -> 2845.18s]  the each of entity we call it that's the business yeah that's the real business yeah we are so intragroup
[2845.34s -> 2852.02s]  service provider for IT for example we are not the business this is the real bank business
[2852.02s -> 2857.70s]  real bank business yeah bank or insurance or whatever yeah yes yeah so if you say business
[2857.70s -> 2866.52s]  then we are referring to that yes okay and sometimes in some cases they have direct contracts
[2866.52s -> 2872.50s]  with third-party providers direct contact with third party yeah okay so they for 90
[2872.50s -> 2882.82s]  they use this but sometimes they also have direct okay okay okay sometimes okay these
[2882.82s -> 2891.62s]  entities must okay collaborate with intragroup to sign contracts with the third party yes
[2891.62s -> 2902.48s]  yeah well it's what they do they say RIT for RIT we use KBC global service that's RIT
[2902.48s -> 2912.14s]  provider RIT our our our our our IT provider this is the IT provider by default for all
[2912.14s -> 2918.78s]  entities for within sorry for all entities within Belgium you have KBC global services
[2918.78s -> 2931.28s]  as IT providers yeah entities in other countries they they have their own IT providers okay
[2931.28s -> 2932.28s]  okay
[2932.28s -> 2940.32s]  Chesapeake bank uses the IT of Chesapeake bank okay in Belgium yeah that's the situation
[2940.32s -> 2947.22s]  in Belgium okay but this is not the case in other other entity for example Chesapeake
[2947.22s -> 2956.52s]  bank in Czech Republic uses the IT of Chesapeake bank so wait this is a legal construction
[2956.52s -> 2962.26s]  it's a legal construction okay but Chesapeake bank
[2962.28s -> 2967.28s]  doesn't have this legal construction, they use the IT within the entity.
[2967.28s -> 2969.28s]  Okay.
[2969.28s -> 2977.28s]  So, we have here in Belgium 3,000 people working for IT and they are working for KBC Global Services.
[2977.28s -> 2981.28s]  So, I have a contract with KBC Global Services and not with KBC Bank.
[2981.28s -> 2983.28s]  Okay.
[2983.28s -> 2987.28s]  On other concrete, they have an internal IT service.
[2987.28s -> 2989.28s]  Yeah.
[2989.28s -> 2994.28s]  Okay, internal IT service, okay, okay.
[2994.28s -> 3004.28s]  And for some stuff, they also use KBC Global Service if we have a group.
[3004.28s -> 3006.28s]  Some stuff, okay.
[3006.28s -> 3013.28s]  Only for limited. For example, they use O365 from Microsoft for collaboration.
[3013.28s -> 3015.28s]  We have a group solution.
[3015.28s -> 3019.28s]  And then they make use of KBC Global Services.
[3019.28s -> 3021.28s]  For this particular service.
[3021.28s -> 3023.28s]  Okay.
[3023.28s -> 3027.28s]  So, but for most of the services, they use their own IT.
[3027.28s -> 3028.28s]  Okay.
[3028.28s -> 3033.28s]  And their own IT, you have contracts with third-party providers.
[3033.28s -> 3035.28s]  Yeah.
[3035.28s -> 3036.28s]  Yeah.
[3036.28s -> 3037.28s]  Okay.
[3037.28s -> 3038.28s]  Not the same.
[3038.28s -> 3039.28s]  But.
[3039.28s -> 3041.28s]  They have their own third-party providers.
[3041.28s -> 3042.28s]  Yeah.
[3042.28s -> 3043.28s]  Yeah.
[3043.28s -> 3044.28s]  Okay.
[3044.28s -> 3048.28s]  Oh, okay.
[3048.28s -> 3049.28s]  Okay.
[3049.28s -> 3050.28s]  So, they have IT.
[3050.28s -> 3051.28s]  Provide IT.
[3051.28s -> 3052.28s]  Provide.
[3052.28s -> 3053.28s]  And okay.
[3053.28s -> 3054.28s]  They.
[3054.28s -> 3055.28s]  They have also contracts with.
[3055.28s -> 3056.28s]  Contracts with.
[3056.28s -> 3057.28s]  Contracts with.
[3057.28s -> 3058.28s]  Yes.
[3058.28s -> 3059.28s]  Third-party providers.
[3059.28s -> 3060.28s]  Contracts with.
[3060.28s -> 3061.28s]  Yes.
[3061.28s -> 3062.28s]  Okay.
[3062.28s -> 3063.28s]  Okay.
[3063.28s -> 3064.28s]  Okay.
[3064.28s -> 3065.28s]  Okay.
[3065.28s -> 3066.28s]  Okay.
[3066.28s -> 3067.28s]  Okay.
[3067.28s -> 3068.28s]  Okay.
[3068.28s -> 3069.28s]  Okay.
[3069.28s -> 3070.28s]  Okay.
[3070.28s -> 3071.28s]  Okay.
[3071.28s -> 3072.28s]  Okay.
[3072.28s -> 3073.28s]  Okay.
[3073.28s -> 3074.28s]  This is very high level.
[3074.28s -> 3075.28s]  High level.
[3075.28s -> 3076.28s]  We have many exceptions.
[3076.28s -> 3077.28s]  Many exceptions.
[3077.28s -> 3078.28s]  Okay.
[3078.28s -> 3087.28s]  This is very high level.
[3087.28s -> 3092.28s]  Thanks a lot.
[3092.28s -> 3093.28s]  Thanks.
[3093.28s -> 3095.28s]  Thank you.
[3095.28s -> 3097.28s]  Thank you very much.
[3097.28s -> 3098.28s]  Thank you.
[3098.28s -> 3099.28s]  Okay.
[3099.28s -> 3100.28s]  So, tell us your expertise.
[3100.28s -> 3102.28s]  In the software industry, I was a software tester in the same area.
[3102.28s -> 3103.28s]  Okay.
[3103.28s -> 3104.28s]  For softwareeniz at Andong Center.
[3104.28s -> 3105.28s]  At Andong Center.
[3105.28s -> 3106.28s]  Yeah.
[3106.28s -> 3107.28s]  I was, in Andong Center, I was a software tester there.
[3107.28s -> 3114.96s]  entities maybe must use a SaaS solution for example, a software as service
[3115.60s -> 3122.56s]  for example, this is a SaaS solution. Each entity have own access to this
[3122.56s -> 3128.72s]  application to maybe upload
[3128.72s -> 3132.56s]  excel file, okay?
[3132.56s -> 3137.60s]  but first the SaaS solution must
[3137.60s -> 3145.92s]  provide example templates of this excel file
[3145.92s -> 3152.80s]  to these entities. So all the entities, everybody who has to report on the
[3152.80s -> 3157.92s]  contracts will use the same format for the upload
[3157.92s -> 3162.00s]  and you will define it. Yes and so you say
[3162.00s -> 3162.40s]  guys
[3162.56s -> 3166.88s]  this is the same format everybody will use the same. Everybody will use the same
[3166.88s -> 3170.48s]  okay because they use the same application
[3170.48s -> 3174.24s]  and this application must validate
[3174.24s -> 3178.88s]  each field, each data. Okay and
[3178.88s -> 3184.48s]  this solution I understand the system the solution must validate the data
[3184.48s -> 3188.08s]  entered by these entities and if
[3188.08s -> 3191.68s]  if the SaaS application detect some problem some
[3191.68s -> 3192.00s]  okay
[3192.56s -> 3196.32s]  they must check these problems for example in
[3196.32s -> 3202.80s]  a log file and inform maybe these entities with these errors
[3202.80s -> 3208.56s]  they will see it in the application yes or they will get a file with the errors
[3208.56s -> 3210.80s]  yes with the results and we can automate the
[3210.80s -> 3216.16s]  inputs data and the output errors for example if these entities
[3216.16s -> 3222.24s]  have some errors we can construct and build some log file and these log files
[3222.56s -> 3227.92s]  will be available in in the interface here
[3227.92s -> 3231.36s]  here yeah in the upload in the upload interface
[3231.36s -> 3236.72s]  upload interface for we have to agree we have to agree to what kind of
[3236.72s -> 3241.92s]  okay uh user friendliness we are going yeah we are going to make it very
[3241.92s -> 3248.48s]  very um simple yeah very basic because we have not much time okay so we will restrict
[3248.48s -> 3252.40s]  not much time okay so we will restrict
[3252.56s -> 3254.80s]  get it simple and stupid
[3254.80s -> 3259.92s]  yeah to be yeah yeah because we wait we can start with the mvp minimum viable
[3259.92s -> 3264.48s]  product exactly and that's what the dot net guys now are waiting for when we
[3264.48s -> 3268.48s]  have the mvp yes yeah look starting with mvp yeah
[3268.48s -> 3272.72s]  implement the vital functionalities yeah and
[3272.72s -> 3277.20s]  deploy minimal viable viable product
[3277.20s -> 3282.56s]  and deploy the first application with some tests and key user
[3282.56s -> 3284.48s]  yeah to validate the
[3284.48s -> 3289.12s]  to validate yeah but that's the main functionality yes and in the second
[3289.12s -> 3291.92s]  iteration we can add
[3291.92s -> 3295.68s]  exactly you can have all the realtor stories
[3295.68s -> 3300.56s]  and in the last we will definitely add the reporting itself
[3300.56s -> 3304.96s]  to make the template reporting like the ecb is expecting in this template we
[3304.96s -> 3309.76s]  want to see this disease okay this is just generation of the report
[3309.76s -> 3312.56s]  this reports uh and we don't know yet the
[3312.56s -> 3316.72s]  we don't know yet how they will be delivered we have to do it via secure
[3316.72s -> 3320.80s]  channel more we don't know now what this means but
[3320.80s -> 3326.00s]  this is very useful later uh okay and in the high level it's not
[3326.00s -> 3329.60s]  only upload but also data entry data yes yes
[3329.60s -> 3333.76s]  look you have the data entry and the upload
[3333.76s -> 3337.28s]  two kinds of uploads manually and automatic
[3337.28s -> 3340.96s]  or just it's a manual manual manual upload and
[3340.96s -> 3342.48s]  if you say okay this is the manual upload and if you say okay this is the
[3342.48s -> 3345.68s]  the the template
[3347.12s -> 3350.64s]  you could have a template for contract information you could have a second
[3350.64s -> 3354.96s]  separate template for the vendors vendor information
[3354.96s -> 3359.52s]  because otherwise you would have to repeat so if for example you have 40
[3359.52s -> 3366.00s]  contracts for microsoft you will have to repeat all the information of microsoft
[3366.00s -> 3371.76s]  in those contracts no look we can we have one contract of the information for
[3371.76s -> 3376.32s]  microsoft with an id a unique id and use this unique id but then you have
[3376.32s -> 3380.40s]  two upload files yeah one through the end of the one yeah
[3380.40s -> 3384.56s]  it's your it's your it's your goal because i confronted this problem in uh
[3384.56s -> 3387.84s]  in luna office national law for six years brussels
[3387.84s -> 3393.44s]  and uh when the uh children a shield
[3393.44s -> 3400.40s]  kids they had an information of uh of medicine of medicine and we have if
[3400.40s -> 3404.48s]  we we have um 800 children
[3404.48s -> 3407.52s]  they uh
[3407.52s -> 3412.08s]  medicine 800 times for the same same medicine
[3412.08s -> 3417.12s]  catastrophe okay uh look one one place for uh okay
[3417.12s -> 3422.72s]  information of uh vander and we can get the unique id and the and let this unique
[3422.72s -> 3426.40s]  id in each and and the dotnet guys have a
[3426.40s -> 3430.24s]  framework yeah they already have a complete
[3430.24s -> 3432.72s]  uh complete uh framework development
[3432.72s -> 3436.16s]  framework yes that takes care of global
[3436.16s -> 3437.20s]  that uh
[3437.20s -> 3441.60s]  guys from czech republic and bulgaria in sofia can work you through the
[3441.60s -> 3446.88s]  application so it's it's on azure so it's called this it's an azure okay
[3446.88s -> 3450.16s]  and the it service in london uh
[3450.16s -> 3453.20s]  it is a service for
[3454.88s -> 3458.24s]  we are going to build it and the rest can can you
[3458.24s -> 3460.24s]  can use it so it's a global application
[3460.24s -> 3468.24s]  built in belgium okay and we can take uh in account uh then this application will be used in
[3468.24s -> 3473.28s]  future by other um common yeah
[3473.28s -> 3476.32s]  that's very important
[3476.32s -> 3480.40s]  used by everybody everybody everybody who has
[3480.40s -> 3484.32s]  dora who has to report contracts for dora for
[3484.32s -> 3489.68s]  dora yeah okay and here okay look we have look here
[3489.68s -> 3493.84s]  entities must upload templates okay
[3493.84s -> 3497.84s]  it's empty templates and fill it fill this templates
[3497.84s -> 3500.24s]  thank you
[3500.80s -> 3505.20s]  okay the templates is provided by
[3505.20s -> 3507.84s]  templates
[3508.16s -> 3510.80s]  provided
[3511.84s -> 3517.68s]  by ubc yeah we have to decide we have to decide who will provide that so we
[3517.68s -> 3519.12s]  we said we have a contract
[3519.68s -> 3523.76s]  um track in dora
[3523.76s -> 3527.12s]  where we will use a number of
[3527.12s -> 3529.60s]  legal guys yeah
[3529.60s -> 3531.76s]  then a coordinator
[3531.76s -> 3535.52s]  and this team has to collect all the information
[3535.52s -> 3537.20s]  out of the contracts
[3537.20s -> 3538.64s]  and reach it
[3538.64s -> 3543.52s]  make it quality proof update it and reach it this information
[3543.52s -> 3549.04s]  and it has to be then entered into kind of excel
[3549.68s -> 3555.12s]  we will see yeah if it's your template that is used to enter
[3555.12s -> 3559.12s]  or is it something intermediary that they
[3559.12s -> 3566.80s]  we will see how it is and this activity has to happen in every entity
[3566.80s -> 3571.44s]  so we will do it from within belgium the czech has to do it the slovak has to
[3571.44s -> 3574.80s]  do it the hungarian has to do it the bulgarian has to do it yeah
[3574.80s -> 3579.60s]  so they all have to collect contract information
[3579.76s -> 3582.80s]  put it somewhere yeah
[3582.80s -> 3587.04s]  and from this somewhere they have to populate your template
[3587.04s -> 3593.60s]  or templates yeah so they can upload the information into your tool
[3593.60s -> 3597.92s]  yeah now they can
[3597.92s -> 3604.32s]  choose to provide all the information via the upload or to
[3604.32s -> 3609.44s]  provide only part of the information and the rest
[3609.44s -> 3613.76s]  just add it through the manual data entry
[3613.76s -> 3618.24s]  so if something is not provided then you cannot upload it
[3618.24s -> 3622.40s]  so there has to be a minimal set of data
[3622.40s -> 3627.04s]  that you need to be able to upload something in the database of course yeah
[3627.04s -> 3630.08s]  if they don't provide any vendor information you cannot upload the
[3630.08s -> 3632.56s]  contract
[3632.80s -> 3637.84s]  but they don't have to provide all the details
[3638.08s -> 3639.20s]  so the upload would
[3640.16s -> 3643.76s]  work now they can also already provide what they have
[3644.32s -> 3646.72s]  and then enrich it via data entry
[3648.00s -> 3654.08s]  that's the flexibility that we offered by manual guys yeah
[3654.08s -> 3658.48s]  and this entity yes must occur this contract
[3659.28s -> 3665.84s]  and fill the excel file for example and send it to this application okay
[3667.52s -> 3668.08s]  okay
[3670.00s -> 3677.50s]  okay
[3690.96s -> 3692.20s]  so
[3692.20s -> 3695.20s]  see
[3695.20s -> 3697.20s]  um
[3697.20s -> 3698.20s]  um
[3698.20s -> 3699.20s]  um
[3699.20s -> 3722.60s]  these are the entities
[3722.60s -> 3724.08s]  which we are talking about
[3724.08s -> 3725.40s]  because we are always talking about
[3725.40s -> 3727.64s]  entities, entities and these are the ones
[3727.64s -> 3730.50s]  so in Excel you find it
[3730.50s -> 3733.06s]  yeah, everything is on the things
[3733.06s -> 3734.36s]  so you have access on all
[3734.36s -> 3736.12s]  but the path to
[3736.12s -> 3737.10s]  get in this
[3737.10s -> 3740.90s]  it's
[3740.90s -> 3742.54s]  DORA implementation
[3742.54s -> 3743.70s]  that's the main
[3743.70s -> 3747.16s]  part, scope group
[3747.16s -> 3748.08s]  scope group
[3748.08s -> 3751.06s]  and here you have
[3751.06s -> 3753.18s]  the DORA scope confirmed
[3753.18s -> 3754.16s]  by legal
[3754.16s -> 3757.02s]  DORA scope confirmed
[3757.02s -> 3757.60s]  by legal
[3757.60s -> 3757.62s]  DORA scope confirmed by legal
[3757.62s -> 3757.64s]  DORA scope confirmed by legal
[3757.64s -> 3759.64s]  so what we are going to do
[3759.64s -> 3761.64s]  Munir is
[3761.64s -> 3763.64s]  I have made a folder for you
[3763.64s -> 3765.64s]  and we
[3765.64s -> 3767.64s]  are going to drop in this folder
[3767.64s -> 3769.64s]  relevant
[3769.64s -> 3771.64s]  real relevant up to date information
[3771.64s -> 3773.64s]  or the link to this information
[3773.64s -> 3775.64s]  because otherwise you will
[3775.64s -> 3777.64s]  yes
[3777.64s -> 3779.64s]  that's helped me
[3779.64s -> 3781.64s]  we have a lot of time
[3781.64s -> 3783.64s]  exactly
[3783.64s -> 3785.64s]  so for example
[3785.64s -> 3787.62s]  KBC Bank NV
[3787.62s -> 3789.62s]  all its branches
[3789.62s -> 3791.62s]  because what we mean by branches
[3791.62s -> 3795.62s]  these are the international branches
[3795.62s -> 3797.62s]  of KBC Bank NV
[3797.62s -> 3799.62s]  for example Shanghai
[3799.62s -> 3801.62s]  NV what does it mean here?
[3801.62s -> 3803.62s]  Nameloze Vernootschap
[3803.62s -> 3805.62s]  Nameloze Vernootschap
[3805.62s -> 3807.62s]  in French
[3807.62s -> 3809.62s]  Société Anonyme
[3809.62s -> 3811.62s]  Société Anonyme
[3811.62s -> 3813.62s]  Société Anonyme
[3813.62s -> 3815.62s]  Société Anonyme
