[0.00s -> 29.36s]  I don't know.
[2036.60s -> 2037.60s]  ...
[2037.60s -> 2038.60s]  ...
[2038.60s -> 2039.60s]  ...
[2039.60s -> 2040.60s]  ...
[2040.60s -> 2049.48s]  show is here what we are going to do is to build a tool that holds all this
[2049.48s -> 2061.66s]  information in a normalized way that people are able to manage all this
[2061.66s -> 2071.26s]  information via data entry and then people can upload if they say we have
[2071.26s -> 2076.88s]  collected we got from Munir a nice template in Excel with columns and
[2076.88s -> 2084.62s]  tablets and tabs yeah vendors we collected all this information in this
[2084.62s -> 2091.66s]  Excel and now we are going to upload it that we don't have to enter
[2091.66s -> 2097.30s]  this is a possibility so the bigger entities will probably go for the
[2097.30s -> 2104.98s]  solution that we provide a template and that people make sure that all the
[2104.98s -> 2109.62s]  information is collected in this template and this is then the format
[2109.62s -> 2117.38s]  that the dotnet guys will use to upload this information in this database database
[2117.38s -> 2120.48s]  okay or a smaller entity for example smaller
[2120.48s -> 2121.64s]  entity who has only two
[2121.64s -> 2133.52s]  ten contracts they say no we're going to talk with yes no and these two should
[2133.52s -> 2140.14s]  then if all the information is in the system in the database we press the
[2140.14s -> 2147.94s]  button report for which entity you want to report yes okay drip pull down menu
[2147.94s -> 2151.54s]  is entity we have access to it
[2151.64s -> 2159.04s]  you are contract owner of a contract of check bank I don't think you should ask
[2159.04s -> 2166.50s]  the report for Belgium so there are some user and access rights you get
[2166.50s -> 2173.32s]  bought about yes who are the contract owners and some roles you have an
[2173.32s -> 2180.30s]  administrative role maybe who must do anything must be able to do anything you
[2180.30s -> 2181.44s]  contract owners
[2181.64s -> 2187.26s]  all of these things have to be analyzed yeah also if people upload information
[2187.26s -> 2198.68s]  there is definitely quality check yes if they either upload information is
[2198.68s -> 2204.30s]  already in the system I'm going to overwrite it or not what should we do
[2204.30s -> 2212.80s]  things have to be bought and discussed we need to detect if the information are
[2212.80s -> 2221.68s]  already uploaded or not to prevent arriving information accident for example
[2221.68s -> 2232.00s]  well maybe do you really want to replace fine so many things it's typical analyst
[2232.00s -> 2234.26s]  work yeah so if you are going to
[2234.26s -> 2234.28s]  replace so many things it's typical analyst work yeah so if you are going to
[2234.28s -> 2239.80s]  read and think about what this application should be able to do what
[2239.80s -> 2243.18s]  are the business requirements for this application that's the first step
[2243.18s -> 2252.52s]  according to me getting to know this text sitting together tomorrow with
[2252.52s -> 2259.18s]  enterprise architect who will explain you a lot more and then starting with the
[2259.18s -> 2264.24s]  requirements of this solution what are really what should my solution be
[2264.24s -> 2272.58s]  able to do and if you have all these requirements listed down they have to
[2272.58s -> 2279.44s]  be approved somebody has to challenge it read it and say okay these are I think
[2279.44s -> 2286.32s]  it's complete based on these requirements okay I have to make user stories for the
[2286.32s -> 2294.20s]  guys who are going to make the screenings develop the UI okay and a data model that's
[2294.20s -> 2298.84s]  is able to contain all these all these more these informations yes yeah
[2305.16s -> 2311.96s]  you don't have to bother which contracts are in scope or not that's something somebody else has
[2311.96s -> 2317.88s]  to bother you know there is another program for the contracts yeah who will look at all
[2317.88s -> 2323.56s]  the contracts collect all the information of the contracts go into negotiation with
[2323.56s -> 2331.16s]  all the vendors because all the vendors have to sign a dora addendum about the contract so
[2331.16s -> 2337.48s]  probably they will ask renegotiation of prices because they will say oh you will come to do an
[2337.48s -> 2345.48s]  audit i don't think so yeah sorry we have to yeah if not we have to terminate the contract maybe
[2346.12s -> 2350.20s]  so there will be renegotiations of hundreds and hundreds of contracts so it's a huge
[2350.84s -> 2353.48s]  huge effort why are you negotiating because the
[2353.56s -> 2359.88s]  bank won't maybe uh no no the provider the provider has to
[2362.12s -> 2368.76s]  be okay with all the requirements that we will impose the providers
[2368.76s -> 2374.92s]  impose the providers so we will say microsoft dear microsoft you will give us all the information
[2374.92s -> 2382.52s]  about your subcontractors if they say we don't think so okay say now we have a problem because
[2383.56s -> 2390.20s]  we have to be compliant with dora kbc has to be compliant with dora to be compliant we need this
[2390.20s -> 2396.84s]  information to report to the regulator yeah so if you don't give it to me we don't need it yeah for
[2397.80s -> 2403.48s]  if you don't give it to me i cannot report to you yeah this is just an example another example is
[2403.48s -> 2411.32s]  you have to participate in pen testing yeah so we are going to do penetration testing and you have
[2411.32s -> 2413.08s]  to participate in this exercise
[2413.56s -> 2422.36s]  so for the bigger companies like sap amazon it will not be a problem yeah because the whole world
[2422.36s -> 2427.96s]  is asking the same question too all the banks who are using their software are asking the same
[2427.96s -> 2433.64s]  question so they are preparing themselves ibm is preparing itself so we have contact with the
[2433.64s -> 2440.68s]  vendors already and we say what are you going to do with dora yeah we are busy okay everybody is
[2440.68s -> 2442.92s]  busy busy yes so um
[2443.56s -> 2451.80s]  so ultimately it has to arrive in your application i call it your application because you will be the
[2453.96s -> 2462.28s]  the man who will decide yeah the who will write down the specifications the requirements the
[2463.24s -> 2468.76s]  how the database should look like and then you will work together with the guys the developers
[2471.16s -> 2473.32s]  define testing scenarios
[2473.56s -> 2482.60s]  um also if there has to be a system demo because who is going to use it in the application
[2483.96s -> 2487.48s]  we are going to build it from within belter yeah so we will fund
[2490.52s -> 2497.88s]  but the whole group will be using it okay so there will be hundreds and hundreds of people using
[2498.52s -> 2503.48s]  this application okay all the contract owners will have a look in it will adjust
[2503.56s -> 2510.92s]  their contract whatever and today because you would say it's strange that kvc doesn't have
[2510.92s -> 2519.96s]  one global contract life cycle management database to keep all their contracts in one place
[2519.96s -> 2527.32s]  what place yeah we don't have it okay and why mainly because
[2527.32s -> 2534.28s]  this is just context information but it's interesting for you we have a pearl strategy
[2534.28s -> 2544.76s]  and the last letter L is local embeddedness it means that from from within the top of the
[2544.76s -> 2557.64s]  company we don't force any solution or whatever to the entities they are accountable for their
[2557.64s -> 2566.36s]  own IT so each entity can decide upon their own ID okay they can they don't have to use the same data
[2566.36s -> 2573.38s]  center they can use other software other solutions it's very strange for a company to work like this
[2573.38s -> 2574.74s]  but the thought process is very interesting and I think it's very important for the company to
[2574.74s -> 2574.76s]  work like this but the thought process is very interesting and I think it's very interesting
[2574.76s -> 2584.14s]  was if they want to act fast in a market they should not wait for global solutions because
[2584.14s -> 2591.58s]  they tend to take too much time okay yeah so they should try to act fast so they need their
[2592.58s -> 2597.02s]  their own solutions you could say for but for contract management
[2597.94s -> 2603.78s]  there is no local specification yeah that's true but we have a legacy
[2603.78s -> 2611.64s]  the Czech guys use another solution we use this solution there is a strategic
[2611.64s -> 2617.48s]  solution now decided for contract lifecycle management but it comes too late it will be
[2617.48s -> 2625.76s]  there in 26 27 and DORA has to be compliant in the beginning of 25 so we call this a tactical
[2625.76s -> 2630.64s]  solution tactical solution yes but if it's well built and I'm sure it will be well built
[2631.88s -> 2633.16s]  it will be used for years
[2633.78s -> 2634.42s]  yes but if it's well built and I'm sure it will be well built it will be used for years
[2634.42s -> 2651.36s]  that's my experience yeah it's a it's not difficult to make something new it's very very difficult to dismantle something old to say we don't need it anymore to phase out something is very very difficult
[2651.36s -> 2662.88s]  okay so the so the application stack is building building building up building up so and it's it should not it's becoming too complex the architecture
[2662.88s -> 2671.80s]  for me because people cannot yeah cannot phase out or it's very difficult to
[2671.80s -> 2675.06s]  phase out something because there is always a reason why you should keep the
[2675.06s -> 2681.08s]  old system because the new one cannot treat all the possibilities of the old
[2681.08s -> 2686.70s]  one and then they will keep some exceptions in the old application and it
[2686.70s -> 2692.76s]  runs next to the new one so it's but that's I think every company has the same
[2693.38s -> 2705.02s]  December challenge just my will make some schema here I explain that we have
[2705.02s -> 2705.80s]  a
[2706.30s -> 2708.10s]  some
[2708.98s -> 2710.00s]  entities
[2714.00s -> 2716.64s]  some entities
[2717.88s -> 2719.00s]  what you want of course you have Legal
[2721.00s -> 2722.88s]  and we will definitely do tomorrow with this okay this way but this
[2722.88s -> 2728.40s]  i will say over and over high level high level high level very high level yes yeah
[2730.40s -> 2738.80s]  and this entity is a subcontract with providers like microsoft for example okay well well it's
[2738.80s -> 2746.32s]  it's a little bit more complex yeah these entities yes have a contract with kbc global services
[2746.32s -> 2754.64s]  okay it's an intra group intra group service provider for i.t yes so kbc bank
[2754.64s -> 2761.84s]  has only a few contracts with kbc global services yeah for maintenance development
[2763.20s -> 2771.20s]  yeah and it is kbc global services who signs most of the contracts with the providers
[2772.96s -> 2775.12s]  so we have an intra group provider
[2776.32s -> 2782.64s]  yes and he has contracts with microsoft et cetera et cetera okay provider yes
[2783.76s -> 2789.52s]  interactive provider provider yeah signal contract with yes
[2793.92s -> 2800.64s]  so yeah they have these okay yeah and he has contract with microsoft or whatever
[2801.44s -> 2805.92s]  yeah uh infra group has contracts with microsoft and uh yes and all the other
[2806.32s -> 2814.56s]  yeah third-party providers yeah third-party providers yeah with okay yeah with the yeah
[2814.56s -> 2816.72s]  the third-party providers
[2823.76s -> 2833.20s]  okay third party provider super okay now and sometimes the entities we call it the business
[2833.20s -> 2835.76s]  yeah they have we call it business you are
[2836.32s -> 2843.36s]  yeah within the each of entity we call it that's the business yeah that's the real business yeah we
[2843.36s -> 2850.88s]  are intra group service provider for i.t for example we are not the business this is the
[2850.88s -> 2857.04s]  real bank business real bug business yeah bank or insurance or whatever yeah yes yeah so if you
[2857.04s -> 2865.76s]  say business then we are referring to that yes okay and sometimes in some cases they have direct
[2865.76s -> 2871.84s]  contracts with third-party providers direct contact with third party yeah okay so they for ninety
[2871.84s -> 2882.80s]  percent they use this but sometimes they also have direct okay okay okay sometimes okay these
[2882.80s -> 2892.56s]  entities must okay collaborate with intra group to sign contracts with a third party yes yeah well
[2893.84s -> 2895.12s]  what they do they say
[2895.76s -> 2907.60s]  r.i.t for r.i.t we use kbc global service that's our i.t provider r.i.t our our our our i.t provider
[2907.60s -> 2914.88s]  this is the i.t provider providers by default for all entities within sorry for all entities
[2914.88s -> 2924.32s]  within belgium you have kbc global services as i.t providers yeah entities in other countries
[2926.72s -> 2935.60s]  they they have their own i.t providers okay okay jzb bank uses the i.t of jzb bank
[2936.72s -> 2944.08s]  okay okay in belgium yeah that's the situation in belgium okay but this is not the case on other
[2945.20s -> 2953.12s]  other entity for example chairs of a bank in czech republic uses the i.t of chesapeake bank so
[2953.76s -> 2955.60s]  wait this is a legal
[2955.76s -> 2963.20s]  construction legal it's a legal construction okay but chairs of a bank doesn't have this
[2963.20s -> 2971.52s]  legal construction they use the i.t within the entity okay okay so we have here in belgium
[2971.52s -> 2977.44s]  three thousand people working for i.t and they are working for kbc global services so i have a
[2977.44s -> 2985.12s]  contract with kbc global services and not with kbc bank okay i mean i know the concrete they have an
[2985.76s -> 2993.92s]  i.t service yeah they they yeah okay a terminal i.t service okay okay
[2996.16s -> 3003.92s]  and for some for some stuff they also use kbc global service if we have a group
[3005.04s -> 3013.76s]  some stuff okay only for limited for example they use o365 from microsoft and for collaboration we
[3013.76s -> 3015.12s]  have a group solution
[3016.48s -> 3025.36s]  and then they make use of kbc global services for this particular service okay so but for most of the
[3025.36s -> 3032.72s]  services they use their own i.t okay and in in their own i.t you have contracts with third-party
[3032.72s -> 3043.52s]  providers again yeah okay not the same but they have their own third-party providers yeah okay
